Approach,Climate,Club,Country,Iteration,parameter,Scenario,tag,Forest,Max_Iteration
Diplomatic,Boreal,outside,ssa,31,qo,Scenario_D,non-producer,0,49
Realistic_wo_china,Tropical,outside,restofworld,1,qxw,Scenario_D,non-producer,0,5
Diplomatic,Boreal,inside,korea,3,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,malasya,11,qo,Scenario_D,producer,0,49
Diplomatic,Tropical,inside,ghana,22,qxw,Scenario_D,producer,55194.2339782715,49
Diplomatic,Boreal,outside,seasia,32,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,latinamer,29,qo,Scenario_D,non-producer,49225.1562957764,49
Diplomatic,Tropical,inside,korea,13,qo,Scenario_D,non-producer,0,49
Idealist,Boreal,outside,seasia,5,qo,Scenario_D,non-producer,0,6
Diplomatic,Boreal,inside,peru,41,qxw,Scenario_D,producer,0,49
Diplomatic,Temperate,inside,uk,40,qxw,Scenario_D,non-producer,-5348.17901611328,49
Realistic_wo_china,Temperate,outside,nigeria,3,qoes,Scenario_D,non-producer,0,4
Idealist,Tropical,inside,canada,2,qxw,Scenario_D,non-producer,0,5
Diplomatic,Temperate,inside,us,47,qo,Scenario_D,non-producer,-187674.208068848,49
Realistic_wo_china,Temperate,outside,argentina,0,qoes,Scenario_D,producer,333.625317811966,4
Diplomatic,Boreal,inside,mexico,31,qxw,Scenario_D,non-producer,0,49
Diplomatic,Temperate,outside,venezuela,43,qxw,Scenario_D,non-producer,0,49
Diplomatic,Temperate,inside,ghana,4,qxw,Scenario_D,producer,0,49
Diplomatic,Boreal,outside,russia,4,qoes,Scenario_D,non-producer,47549.5244750977,4
Diplomatic,Temperate,outside,uruguay,27,qo,Scenario_D,non-producer,0,49
Realistic_wo_china,Temperate,outside,venezuela,0,qoes,Scenario_D,non-producer,0,4
Diplomatic,Boreal,outside,russia,30,qxw,Scenario_D,non-producer,32522.7164306641,49
Realistic_wi_china,Boreal,outside,indonesia,4,qxw,Scenario_D,producer,0,5
Realistic_wo_china,Tropical,inside,canada,3,qxw,Scenario_D,non-producer,0,5
Idealist,Boreal,outside,eastasia,6,qo,Scenario_D,non-producer,4.67993545532227,6
Diplomatic,Temperate,outside,seasia,13,qxw,Scenario_D,non-producer,1432.95600414276,49
Realistic_wi_china,Temperate,outside,latinamer,3,qoes,Scenario_D,non-producer,28073.1148681641,5
Diplomatic,Boreal,outside,myanmar,43,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,inside,oceania,23,qo,Scenario_D,non-producer,0,49
Diplomatic,Temperate,outside,madagascar,4,qxw,Scenario_D,non-producer,0,49
Diplomatic,Boreal,inside,mexico,6,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,southasia,40,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,china,47,qo,Scenario_D,non-producer,1026.30651855469,49
Diplomatic,Boreal,outside,latinamer,4,qxw,Scenario_D,non-producer,4345.82280731201,49
Diplomatic,Tropical,outside,india,3,qxw,Scenario_D,non-producer,32651.8021240234,49
Diplomatic,Tropical,outside,uruguay,9,qo,Scenario_D,non-producer,0,49
Realistic_wo_china,Temperate,outside,ssa,2,qo,Scenario_D,non-producer,18692.5586662292,5
Diplomatic,Tropical,outside,russia,5,qo,Scenario_D,non-producer,0,49
Realistic_wo_china,Temperate,outside,ivorycoast,5,qxw,Scenario_D,producer,0,5
Idealist,Tropical,inside,paraguay,1,qo,Scenario_D,producer,-4626.55712890625,6
Diplomatic,Tropical,outside,china,47,qxw,Scenario_D,non-producer,517.8271484375,49
Realistic_wi_china,Boreal,outside,japan,0,qxw,Scenario_D,non-producer,7.42459297180176,5
Realistic_wi_china,Tropical,inside,peru,3,qo,Scenario_D,producer,10246.4804382324,5
Diplomatic,Tropical,outside,restofworld,26,qo,Scenario_D,non-producer,0,49
Diplomatic,Temperate,inside,argentina,49,qxw,Scenario_D,producer,3090.35361099243,49
Realistic_wo_china,Tropical,outside,paraguay,1,qoes,Scenario_D,producer,-61.1995697021484,4
Diplomatic,Tropical,outside,ssa,37,qxw,Scenario_D,non-producer,178126.422210693,49
Realistic_wo_china,Tropical,outside,indonesia,5,qxw,Scenario_D,producer,420.90621471405,5
Diplomatic,Boreal,inside,uruguay,2,qxw,Scenario_D,non-producer,0,49
Realistic_wi_china,Tropical,outside,malasya,0,qxw,Scenario_D,producer,520.819763183594,5
Diplomatic,Tropical,inside,mexico,16,qo,Scenario_D,non-producer,-8765.5609588623,49
Diplomatic,Boreal,inside,canada,28,qo,Scenario_D,non-producer,-49427.434753418,49
Diplomatic,Tropical,outside,venezuela,11,qxw,Scenario_D,non-producer,-221.038287997246,49
Idealist,Boreal,inside,mexico,5,qxw,Scenario_D,non-producer,0,5
Diplomatic,Tropical,inside,efta,39,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,eastasia,10,qo,Scenario_D,non-producer,273.411315917969,49
Diplomatic,Temperate,outside,ssa,1,qo,Scenario_D,non-producer,-5033.51444482803,49
Realistic_wi_china,Tropical,inside,ghana,5,qxw,Scenario_D,producer,55645.6293334961,5
Diplomatic,Boreal,outside,latinamer,31,qxw,Scenario_D,non-producer,4421.36066436768,49
Diplomatic,Tropical,outside,angdrc,39,qxw,Scenario_D,producer,10504.4065551758,49
Idealist,Tropical,inside,uk,5,qxw,Scenario_D,non-producer,0,5
Realistic_wo_china,Temperate,outside,canada,0,qoes,Scenario_D,non-producer,2726.22150039673,4
Realistic_wo_china,Tropical,outside,indonesia,1,qxw,Scenario_D,producer,-3703.05909729004,5
Realistic_wo_china,Boreal,outside,peru,2,qoes,Scenario_D,producer,0,4
Diplomatic,Tropical,outside,indonesia,45,qxw,Scenario_D,producer,439.927224636078,49
Idealist,Temperate,outside,angdrc,0,qo,Scenario_D,producer,330.321762084961,6
Diplomatic,Boreal,outside,china,6,qo,Scenario_D,non-producer,1697.5405216217,49
Diplomatic,Temperate,inside,canada,33,qo,Scenario_D,non-producer,-291414.06854248,49
Idealist,Temperate,outside,nigeria,0,qo,Scenario_D,non-producer,0,6
Realistic_wi_china,Tropical,inside,japan,1,qo,Scenario_D,non-producer,0,5
Diplomatic,Tropical,outside,russia,20,qxw,Scenario_D,non-producer,0,49
Realistic_wi_china,Boreal,outside,argentina,3,qxw,Scenario_D,producer,106.466585159302,5
Diplomatic,Temperate,outside,uruguay,1,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,inside,uk,31,qxw,Scenario_D,non-producer,-31.7261962890625,49
Diplomatic,Boreal,outside,paraguay,44,qxw,Scenario_D,producer,0,49
Idealist,Boreal,inside,us,3,qo,Scenario_D,non-producer,243.309376239777,6
Diplomatic,Boreal,outside,bolivia,19,qo,Scenario_D,producer,0,49
Realistic_wo_china,Boreal,outside,seasia,4,qxw,Scenario_D,non-producer,0,5
Realistic_wo_china,Temperate,outside,latinamer,2,qxw,Scenario_D,non-producer,8216.75289916992,5
Idealist,Boreal,inside,ghana,2,qxw,Scenario_D,producer,0,5
Diplomatic,Boreal,outside,ghana,18,qo,Scenario_D,producer,0,49
Diplomatic,Temperate,outside,eastasia,14,qxw,Scenario_D,non-producer,7829.4476852417,49
Diplomatic,Temperate,outside,mozambique,44,qxw,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,peru,12,qo,Scenario_D,producer,0,49
Idealist,Temperate,inside,ssa,2,qxw,Scenario_D,non-producer,29839.7295532227,5
Diplomatic,Boreal,inside,oceania,13,qo,Scenario_D,non-producer,0,49
Idealist,Boreal,outside,ghana,5,qo,Scenario_D,producer,0,6
Diplomatic,Tropical,outside,mozambique,24,qo,Scenario_D,non-producer,5850.59075927734,49
Diplomatic,Tropical,inside,mexico,41,qo,Scenario_D,non-producer,-8512.30032539368,49
Realistic_wo_china,Temperate,outside,latinamer,1,qo,Scenario_D,non-producer,-1089.03570556641,5
Diplomatic,Temperate,outside,brasil,29,qo,Scenario_D,producer,-35850.1484375,49
Diplomatic,Tropical,inside,us,5,qo,Scenario_D,non-producer,0,49
Realistic_wo_china,Boreal,inside,eu27,3,qxw,Scenario_D,non-producer,-32245.4929218292,5
Diplomatic,Tropical,outside,venezuela,17,qo,Scenario_D,non-producer,-1564.00030708313,49
Realistic_wi_china,Temperate,inside,uk,4,qoes,Scenario_D,non-producer,-3940.21730804443,5
Realistic_wi_china,Boreal,outside,argentina,0,qoes,Scenario_D,producer,-5.7881988286972,5
Diplomatic,Tropical,inside,us,35,qxw,Scenario_D,non-producer,0,49
Idealist,Boreal,outside,nigeria,1,qxw,Scenario_D,non-producer,0,5
Realistic_wo_china,Temperate,outside,japan,0,qoes,Scenario_D,non-producer,547.927051544189,4
Diplomatic,Tropical,inside,japan,5,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,inside,korea,24,qo,Scenario_D,non-producer,0,49
Realistic_wo_china,Boreal,outside,efta,0,qoes,Scenario_D,non-producer,105.59681224823,4
Diplomatic,Temperate,outside,madagascar,4,qoes,Scenario_D,non-producer,0,4
Diplomatic,Temperate,inside,efta,49,qxw,Scenario_D,non-producer,-576.574523925781,49
Diplomatic,Temperate,outside,latinamer,0,qo,Scenario_D,non-producer,-33.2061859369278,49
Diplomatic,Tropical,outside,malasya,1,qo,Scenario_D,producer,-3906.80151367188,49
Realistic_wi_china,Tropical,outside,madagascar,4,qxw,Scenario_D,non-producer,27290.3529663086,5
Diplomatic,Temperate,outside,paraguay,35,qo,Scenario_D,producer,-12322.564453125,49
Idealist,Boreal,inside,latinamer,2,qo,Scenario_D,non-producer,4549.49327850342,6
Diplomatic,Temperate,outside,myanmar,38,qxw,Scenario_D,non-producer,409.572601318359,49
Diplomatic,Temperate,outside,indonesia,6,qxw,Scenario_D,producer,0,49
Diplomatic,Temperate,outside,eastasia,22,qxw,Scenario_D,non-producer,8399.48287963867,49
Diplomatic,Temperate,outside,latinamer,20,qo,Scenario_D,non-producer,17214.2362060547,49
Diplomatic,Tropical,outside,india,43,qxw,Scenario_D,non-producer,31881.6625976563,49
Diplomatic,Temperate,outside,mozambique,0,qo,Scenario_D,non-producer,0,49
Diplomatic,Temperate,inside,colombia,24,qo,Scenario_D,producer,-61.2093796432018,49
Diplomatic,Temperate,outside,latinamer,42,qxw,Scenario_D,non-producer,15638.7707214355,49
Diplomatic,Temperate,inside,oceania,35,qo,Scenario_D,non-producer,-2230.87051391602,49
Diplomatic,Boreal,inside,oceania,12,qo,Scenario_D,non-producer,0,49
Realistic_wi_china,Tropical,inside,ghana,0,qoes,Scenario_D,producer,79733.3038330078,5
Realistic_wo_china,Boreal,inside,uk,0,qoes,Scenario_D,non-producer,26.9133731126785,4
Realistic_wi_china,Tropical,inside,japan,4,qoes,Scenario_D,non-producer,0,5
Diplomatic,Temperate,outside,china,3,qxw,Scenario_D,non-producer,33792.4079670906,49
Diplomatic,Temperate,inside,japan,14,qo,Scenario_D,non-producer,-10655.8316650391,49
Diplomatic,Temperate,outside,venezuela,23,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,mena,5,qo,Scenario_D,non-producer,2.64250755310059,49
Diplomatic,Tropical,outside,brasil,21,qo,Scenario_D,producer,88177.0538330078,49
Diplomatic,Tropical,inside,mexico,25,qxw,Scenario_D,non-producer,-8227.95429992676,49
Idealist,Tropical,inside,uk,3,qxw,Scenario_D,non-producer,0,5
Diplomatic,Temperate,outside,mozambique,42,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,mena,22,qo,Scenario_D,non-producer,26.9790921211243,49
Diplomatic,Tropical,inside,korea,28,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,india,8,qxw,Scenario_D,non-producer,0,49
Realistic_wi_china,Tropical,inside,canada,2,qxw,Scenario_D,non-producer,0,5
Realistic_wo_china,Temperate,outside,indonesia,4,qoes,Scenario_D,producer,0,4
Realistic_wi_china,Boreal,outside,malasya,0,qo,Scenario_D,producer,0,5
Realistic_wi_china,Tropical,inside,uk,4,qoes,Scenario_D,non-producer,0,5
Diplomatic,Temperate,inside,korea,23,qo,Scenario_D,non-producer,-1413.50210571289,49
Diplomatic,Temperate,outside,argentina,7,qo,Scenario_D,producer,-146678.857177734,49
Diplomatic,Boreal,inside,eu27,27,qo,Scenario_D,non-producer,-30620.3713798523,49
Diplomatic,Boreal,inside,us,31,qxw,Scenario_D,non-producer,129.258846342564,49
Diplomatic,Tropical,outside,china,30,qxw,Scenario_D,non-producer,789.592498779297,49
Idealist,Boreal,inside,bolivia,3,qxw,Scenario_D,producer,0,5
Realistic_wi_china,Boreal,outside,nigeria,0,qxw,Scenario_D,non-producer,0,5
Diplomatic,Temperate,outside,russia,23,qxw,Scenario_D,non-producer,25019.7050552368,49
Diplomatic,Boreal,outside,southasia,8,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,seasia,16,qo,Scenario_D,non-producer,32141.9345703125,49
Diplomatic,Temperate,inside,ghana,27,qo,Scenario_D,producer,0,49
Diplomatic,Boreal,inside,nigeria,29,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,madagascar,7,qo,Scenario_D,non-producer,0,49
Diplomatic,Boreal,outside,paraguay,45,qo,Scenario_D,producer,0,49
Diplomatic,Tropical,outside,china,14,qo,Scenario_D,non-producer,832.641479492188,49
Diplomatic,Boreal,inside,argentina,16,qo,Scenario_D,producer,-908.788009643555,49
Diplomatic,Temperate,outside,eastasia,21,qxw,Scenario_D,non-producer,7636.03832244873,49
Realistic_wi_china,Tropical,outside,mozambique,0,qo,Scenario_D,non-producer,-15.5355550050735,5
Realistic_wo_china,Temperate,outside,angdrc,1,qoes,Scenario_D,producer,-104.445850372314,4
Idealist,Tropical,outside,ssa,5,qo,Scenario_D,non-producer,447197.864746094,6
Diplomatic,Temperate,outside,southasia,12,qo,Scenario_D,non-producer,547.873311288655,49
Diplomatic,Boreal,inside,oceania,1,qoes,Scenario_D,non-producer,0,4
Diplomatic,Tropical,outside,china,25,qo,Scenario_D,non-producer,813.018524169922,49
Realistic_wo_china,Tropical,outside,mozambique,0,qxw,Scenario_D,non-producer,-15.5355550050735,5
Diplomatic,Temperate,inside,ghana,33,qxw,Scenario_D,producer,0,49
Diplomatic,Boreal,inside,efta,19,qxw,Scenario_D,non-producer,-923.542808532715,49
Realistic_wo_china,Tropical,inside,korea,3,qxw,Scenario_D,non-producer,0,5
Realistic_wo_china,Boreal,outside,newzealand,0,qoes,Scenario_D,non-producer,-1.42849338054657,4
Diplomatic,Tropical,inside,bolivia,21,qxw,Scenario_D,producer,-4464.18087768555,49
Diplomatic,Tropical,outside,argentina,1,qo,Scenario_D,producer,0,49
Diplomatic,Boreal,outside,ghana,49,qo,Scenario_D,producer,0,49
Diplomatic,Boreal,outside,southasia,39,qxw,Scenario_D,non-producer,0,49
Diplomatic,Tropical,outside,india,27,qo,Scenario_D,non-producer,41039.1370239258,49
Realistic_wo_china,Boreal,outside,eastasia,4,qxw,Scenario_D,non-producer,385.96201133728,5
Diplomatic,Boreal,outside,eastasia,11,qxw,Scenario_D,non-producer,387.800018310547,49
Diplomatic,Temperate,inside,nigeria,30,qo,Scenario_D,non-producer,0,49
Diplomatic,Temperate,inside,peru,18,qo,Scenario_D,producer,12563.5948791504,49
Diplomatic,Tropical,outside,russia,1,qxw,Scenario_D,non-producer,0,49
Realistic_wi_china,Tropical,outside,brasil,4,qo,Scenario_D,producer,58538.5246582031,5
Realistic_wi_china,Tropical,outside,malasya,1,qoes,Scenario_D,producer,-2425.04565429688,5
Diplomatic,Boreal,outside,angdrc,49,qo,Scenario_D,producer,0,49
