Origin,Sector,Zone_consumption,SubZone_Consumption,Value,CSRD_sector
COL,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,0.958509771427954,Within EU law
PRY,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,1.57544497258195e-02,Within EU law
ARG,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,4.04876187677737e-04,Within EU law
CIV,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,0.417522261517418,Within EU law
COD,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,9.13841140236663e-03,Within EU law
BRA,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,5.61073695460104e-02,Within EU law
PER,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,0.122079421114472,Within EU law
MYS,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,1.62012937826304e-02,Within EU law
IDN,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,0.466188649029337,Within EU law
AGO,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,8.46022314471794e-06,Within EU law
GHA,"Growing beverage crops (coffee, tea etc) industry",Oceania and Asia,Rest_of_Asia_Pacific,2.40673311585216e-02,Within EU law
COL,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,2.42000962300012e-02,Within EU law
ARG,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Within EU law
COD,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,1.11831297074788e-02,Within EU law
GHA,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,1.03813365673282,Within EU law
CIV,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,0.925937738232868,Within EU law
AGO,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,3.63947737065067e-05,Within EU law
PRY,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Within EU law
MYS,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,5.24840028802845e-02,Within EU law
IDN,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,4.22958033681615,Within EU law
PER,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,0.717755384659237,Within EU law
BRA,Growing crops n.e.c. industry,Oceania and Asia,Rest_of_Asia_Pacific,0.126048604785236,Within EU law
COL,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,1.35397106620947e-03,Outside EU law
BRA,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,2.03048910393244,Outside EU law
AGO,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,2.88099693406983e-04,Outside EU law
PER,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,0.120660586798584,Outside EU law
PRY,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,1.85613378841765,Outside EU law
MYS,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
CIV,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
IDN,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
ARG,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,0.257536418169554,Outside EU law
GHA,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
COD,Growing wheat industry,Oceania and Asia,Rest_of_Asia_Pacific,7.12547396459955e-04,Outside EU law
ARG,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,0.149787566327497,Within EU law
CIV,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,5.42504508040938e-02,Within EU law
IDN,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,119.03366090223,Within EU law
BRA,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,12.590530872964,Within EU law
MYS,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,43.5720847366944,Within EU law
PER,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,0.483538184946045,Within EU law
GHA,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,0.41768388100362,Within EU law
COD,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,2.86857961476718e-03,Within EU law
COL,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,0.213034113302983,Within EU law
PRY,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,10.9784050080483,Within EU law
AGO,Growing leguminous crops and oil seeds industry,Oceania and Asia,Rest_of_Asia_Pacific,1.89378671269258e-02,Within EU law
IDN,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,416.2965108378,Outside EU law
PRY,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,3.85569497782088,Outside EU law
AGO,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,8.44670423619963,Outside EU law
COD,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,17.4096169005379,Outside EU law
CIV,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,312.614550101106,Outside EU law
MYS,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,30.586963997721,Outside EU law
PER,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,32.7927200635452,Outside EU law
COL,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,12.8211068242113,Outside EU law
BRA,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,0.479267677762876,Outside EU law
GHA,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,2277.5201668143,Outside EU law
ARG,Growing fruits and nuts industry,Oceania and Asia,Eastern_Asia,0.144539961214401,Outside EU law
BRA,Raising of cattle industry,Oceania and Asia,Eastern_Asia,259.049095234491,Within EU law
PRY,Raising of cattle industry,Oceania and Asia,Eastern_Asia,82.0366286003959,Within EU law
GHA,Raising of cattle industry,Oceania and Asia,Eastern_Asia,40.3746740401451,Within EU law
CIV,Raising of cattle industry,Oceania and Asia,Eastern_Asia,2.81636446029044,Within EU law
MYS,Raising of cattle industry,Oceania and Asia,Eastern_Asia,30.110074343851,Within EU law
IDN,Raising of cattle industry,Oceania and Asia,Eastern_Asia,175.020538955655,Within EU law
ARG,Raising of cattle industry,Oceania and Asia,Eastern_Asia,728.393113053166,Within EU law
AGO,Raising of cattle industry,Oceania and Asia,Eastern_Asia,20.1863924230468,Within EU law
PER,Raising of cattle industry,Oceania and Asia,Eastern_Asia,158.788981037826,Within EU law
COD,Raising of cattle industry,Oceania and Asia,Eastern_Asia,9.82226498174252,Within EU law
COL,Raising of cattle industry,Oceania and Asia,Eastern_Asia,266.290126237411,Within EU law
BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,15.3772416950029,Outside EU law
IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,485.596340334019,Outside EU law
MYS,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,131.077980054164,Outside EU law
CIV,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,7.07408806829423e-02,Outside EU law
PER,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,8.94668024502906,Outside EU law
GHA,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,0.651418586126525,Outside EU law
COL,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,0.73606808362189,Outside EU law
ARG,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,3.48204953508769e-03,Outside EU law
COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,9.09278460224763e-03,Outside EU law
AGO,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,0,Outside EU law
PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Eastern_Asia,1.96788226868624,Outside EU law
PRY,Growing rice industry,Oceania and Asia,Eastern_Asia,50.4318974823211,Outside EU law
BRA,Growing rice industry,Oceania and Asia,Eastern_Asia,1.30946889495852,Outside EU law
AGO,Growing rice industry,Oceania and Asia,Eastern_Asia,2.19634336792776e-03,Outside EU law
CIV,Growing rice industry,Oceania and Asia,Eastern_Asia,3.07506116251977,Outside EU law
IDN,Growing rice industry,Oceania and Asia,Eastern_Asia,37.2180144957829,Outside EU law
COL,Growing rice industry,Oceania and Asia,Eastern_Asia,0.263397545317759,Outside EU law
PER,Growing rice industry,Oceania and Asia,Eastern_Asia,6.30021431392165e-02,Outside EU law
MYS,Growing rice industry,Oceania and Asia,Eastern_Asia,1.29887408474611,Outside EU law
ARG,Growing rice industry,Oceania and Asia,Eastern_Asia,1.50806243760092e-03,Outside EU law
COD,Growing rice industry,Oceania and Asia,Eastern_Asia,1.17451814719407,Outside EU law
GHA,Growing rice industry,Oceania and Asia,Eastern_Asia,1.14711725535145,Outside EU law
IDN,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,122.565859538403,Outside EU law
COD,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,0.341783054191798,Outside EU law
AGO,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,1.39169996739236,Outside EU law
BRA,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,190.840804263281,Outside EU law
PER,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,12.646384453364,Outside EU law
GHA,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,0.176411908446768,Outside EU law
ARG,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,8.11696721348305e-02,Outside EU law
COL,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,39.1172405768223,Outside EU law
PRY,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,2.88070951223741,Outside EU law
CIV,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,0.706060786620204,Outside EU law
MYS,Growing sugar beet and cane industry,Oceania and Asia,Eastern_Asia,22.3216659693325,Outside EU law
COL,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,29.3539358907854,Outside EU law
MYS,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,6.57855233595441,Outside EU law
ARG,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,3.68079375369043,Outside EU law
PER,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,12.0938563663977,Outside EU law
CIV,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,27.5642348325022,Outside EU law
GHA,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,222.37056328589,Outside EU law
PRY,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,0.2199496871698,Outside EU law
IDN,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,0,Outside EU law
COD,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,159.475152293742,Outside EU law
AGO,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,3.06978101616039,Outside EU law
BRA,"Growing vegetables, roots, tubers industry",Oceania and Asia,Eastern_Asia,4.59973838415898,Outside EU law
IDN,Growing grapes industry,Oceania and Asia,Eastern_Asia,0,Outside EU law
BRA,Growing grapes industry,Oceania and Asia,Eastern_Asia,4.70385552126478e-03,Outside EU law
AGO,Growing grapes industry,Oceania and Asia,Eastern_Asia,0,Outside EU law
PER,Growing grapes industry,Oceania and Asia,Eastern_Asia,40.8827978538702,Outside EU law
PRY,Growing grapes industry,Oceania and Asia,Eastern_Asia,3.38274510725936e-03,Outside EU law
MYS,Growing grapes industry,Oceania and Asia,Eastern_Asia,0,Outside EU law
COL,Growing grapes industry,Oceania and Asia,Eastern_Asia,1.9975301308873e-02,Outside EU law
COD,Growing grapes industry,Oceania and Asia,Eastern_Asia,0,Outside EU law
CIV,Growing grapes industry,Oceania and Asia,Eastern_Asia,0,Outside EU law
ARG,Growing grapes industry,Oceania and Asia,Eastern_Asia,2.46374911348701e-02,Outside EU law
GHA,Growing grapes industry,Oceania and Asia,Eastern_Asia,0,Outside EU law
ARG,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,6.65861903986425,Outside EU law
PRY,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,8.50170575099246,Outside EU law
AGO,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,10.4504786122822,Outside EU law
CIV,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,1.65427861975462,Outside EU law
GHA,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,9.26505790456176,Outside EU law
IDN,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,0,Outside EU law
BRA,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,158.332027096478,Outside EU law
MYS,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,0,Outside EU law
COD,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,2.27983254115402e-02,Outside EU law
PER,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,14.7767787608155,Outside EU law
COL,Growing cereals n.e.c industry,Oceania and Asia,Eastern_Asia,0.994674724718175,Outside EU law
COL,Growing maize industry,Oceania and Asia,Eastern_Asia,15.2639509230533,Outside EU law
