Country,Alpha-3code,GTAPAEZ
Iraq,IRQ,MENA
Ireland,IRL,EU27
Isle of Man,IMN,RestofWorld
Israel,ISR,MENA
Italy,ITA,EU27
Jamaica,JAM,LatinAmer
Japan,JPN,Japan
Jersey,JEY,RestofWorld
Jordan,JOR,MENA
Kazakhstan,KAZ,RestofWorld
Kenya,KEN,SSA
Kiribati,KIR,Oceania
Democratic People's Republic of Korea,PRK,EastAsia
South Korea,KOR,Korea
Kuwait,KWT,MENA
Kyrgyzstan,KGZ,RestofWorld
Lao People's Democratic Republic,LAO,SEAsia
Latvia,LVA,EU27
Lebanon,LBN,MENA
Lesotho,LSO,SSA
Liberia,LBR,SSA
Libya,LBY,MENA
Liechtenstein,LIE,EFTA
Lithuania,LTU,EU27
Luxembourg,LUX,EU27
Macao,MAC,EastAsia
Macedonia,MKD,RestofWorld
Madagascar,MDG,Madagascar
Malawi,MWI,SSA
Malaysia,MYS,Malasya
Maldives,MDV,SouthAsia
Mali,MLI,SSA
Malta,MLT,EU27
Marshall Islands,MHL,Oceania
Martinique,MTQ,EU27
Mauritania,MRT,SSA
Mauritius,MUS,SSA
Mayotte,MYT,SSA
Mexico,MEX,Mexico
Micronesia (Federated States of),FSM,Oceania
Moldova,MDA,RestofWorld
Monaco,MCO,RestofWorld
Mongolia,MNG,EastAsia
Montenegro,MNE,RestofWorld
Montserrat,MSR,LatinAmer
Morocco,MAR,MENA
Mozambique,MOZ,Mozambique
Myanmar,MMR,Myanmar
Namibia,NAM,SSA
Nauru,NRU,Oceania
Nepal,NPL,SouthAsia
Netherlands,NLD,EU27
Netherlands Antilles,ANT,LatinAmer
New Caledonia,NCL,Oceania
New Zealand,NZL,NewZealand
Nicaragua,NIC,LatinAmer
Niger,NER,SSA
Nigeria,NGA,Nigeria
Niue,NIU,Oceania
Northern Mariana Islands,MNP,Oceania
Norway,NOR,EFTA
Oman,OMN,MENA
Pakistan,PAK,SouthAsia
Palau,PLW,Oceania
Panama,PAN,LatinAmer
Papua New Guinea,PNG,Oceania
Paraguay,PRY,Paraguay
Peru,PER,Peru
Philippines,PHL,SEAsia
Pitcairn,PCN,Oceania
Poland,POL,EU27
Portugal,PRT,EU27
Puerto Rico,PRI,LatinAmer
Qatar,QAT,MENA
R̩union,REU,EU27
Romania,ROU,EU27
Russian Federation,RUS,Russia
Rwanda,RWA,SSA
Saint Helena,SHN,SSA
Saint Kitts and Nevis,KNA,LatinAmer
Saint Lucia,LCA,LatinAmer
Saint Vincent and the Grenadines,VCT,LatinAmer
Samoa,WSM,Oceania
San Marino,SMR,RestofWorld
Sao Tome and Principe,STP,SSA
Saudi Arabia,SAU,MENA
Senegal,SEN,SSA
Serbia,SRB,RestofWorld
Seychelles,SYC,SSA
Sierra Leone,SLE,SSA
Singapore,SGP,SEAsia
Slovakia,SVK,EU27
Slovenia,SVN,EU27
Solomon Islands,SLB,Oceania
Somalia,SOM,SSA
South Africa,ZAF,SSA
South Georgia and the South Sandwich Islands,SGS,LatinAmer
Spain,ESP,EU27
Sri Lanka,LKA,SouthAsia
Sudan,SDN,SSA
Suriname,SUR,LatinAmer
Swaziland,SWZ,SSA
Sweden,SWE,EU27
Switzerland,CHE,EFTA
Syrian Arab Republic,SYR,MENA
Taiwan,TWN,EastAsia
Tajikistan,TJK,RestofWorld
Tanzania,TZA,SSA
Thailand,THA,SEAsia
Timor-Leste,TLS,SEAsia
Togo,TGO,SSA
Tokelau,TKL,Oceania
Tonga,TON,Oceania
Trinidad and Tobago,TTO,LatinAmer
Tunisia,TUN,MENA
Turkey,TUR,MENA
Turkmenistan,TKM,RestofWorld
Turks and Caicos Islands,TCA,LatinAmer
Tuvalu,TUV,Oceania
Uganda,UGA,SSA
Ukraine,UKR,RestofWorld
United Arab Emirates,ARE,MENA
United Kingdom,GBR,UK
United States,USA,US
United States Minor Outlying Islands,UMI,Oceania
Uruguay,URY,Uruguay
Uzbekistan,UZB,RestofWorld
Vanuatu,VUT,Oceania
Venezuela,VEN,Venezuela
Vietnam,VNM,SEAsia
Virgin Islands,VGB,LatinAmer
Virgin Islands,VIR,LatinAmer
Wallis and Futuna,WLF,Oceania
Western Sahara,ESH,MENA
Yemen,YEM,MENA
Zambia,ZMB,SSA
Zimbabwe,ZWE,SSA
South Sudan,SSD,SSA
